PR_65_52_00_00    PIPELINES
PR_65_52_00_00.1010    PRE-FABRICATED PIPEWORK:
PR_65_52_00_00.2010A    HEAVY BLACK STEEL PIPES TO BS EN 10255:
PR_65_52_00_00.2010B    MEDIUM BLACK STEEL PIPES TO BS EN 10255:
PR_65_52_00_00.2010C    MEDIUM GALVANISED STEEL PIPES TO BS EN 10255:
PR_65_52_00_00.2010E    HEAVY BLACK STEEL PIPES TO BS EN 10255 - GROOVED ENDS:
PR_65_52_00_00.2010F    MEDIUM BLACK STEEL PIPES TO BS EN 10255 - GROOVED ENDS:
PR_65_52_00_00.2020A    STEEL FITTINGS - SCREWED BENDS AND SPRINGS TO BS EN 10255:
PR_65_52_00_00.2060A    HEAVY WEIGHT CARBON STEEL FITTINGS, BUTT WELDED TO BS EN 10253:
PR_65_52_00_00.2060B    MEDIUM WEIGHT CARBON STEEL FITTINGS, BUTT WELDED TO BS EN 10253:
PR_65_52_00_00.2080B    BLACK STEEL FITTINGS, GROOVED FOR MECHANICAL JOINTS:
PR_65_52_00_00.2080F    PAINTED STEEL FITTINGS, GROOVED FOR MECHANICAL JOINTS:
PR_65_52_00_00.2255A    STAINLESS STEEL FITTINGS, GROOVED MECHANICAL JOINTS:
PR_65_52_00_00.2270A    COPPER HALF HARD:
PR_65_52_00_00.2270B    CHROMIUM PLATED COPPER, HALF HARD:
PR_65_52_00_00.2270C    POLYETHYLENE SHEATHED COPPER, HALF HARD:
PR_65_52_00_00.2310A    CAPILLARY FITTINGS FOR COPPER TUBING, GENERAL POTABLE RANGE:
PR_65_52_00_00.2310B    CAPILLARY FITTINGS FOR CHROME PLATED COPPER TUBING, POTABLE RANGE:
PR_65_52_00_00.2310C    CAPILLARY FITTINGS FOR COPPER TUBING, HIGH DUTY RANGE:
PR_65_52_00_00.2310D    CAPILLARY FITTINGS FOR COPPER TUBING, WEDGE FITTING RANGE:
PR_65_52_00_00.2310E    CAPILLARY FITTINGS FOR COPPER TUBING, WASTE SYSTEM RANGE:
PR_65_52_00_00.2320A    TYPE A COMPRESSION FITTINGS FOR COPPER TUBING:
PR_65_52_00_00.2320B    TYPE A COMPRESSION FITTINGS FOR CHROME PLATED COPPER TUBING:
PR_65_52_00_00.2320C    TYPE B COMPRESSION FITTINGS FOR COPPER TUBING:
PR_65_52_00_00.2322    CAPILLARY FITTINGS, SHORT, FOR BRAZING TO COPPER TUBING:
PR_65_52_00_00.2325A    PUSH-FIT FITTINGS FOR COPPER TUBING:
PR_65_52_00_00.2330A    COPPER TO BS EN 12449:
PR_65_52_00_00.2332A    COPPER TO BS EN 12450:
PR_65_52_00_00.2350A    CAST IRON PIPES AND FITTINGS TO BS 416-1:
PR_65_52_00_00.2370A    CAST IRON PIPES TO BS 437 FOR FLEXIBLE JOINTS:
PR_65_52_00_00.2390A    RED CAST IRON PIPES AND FITTINGS TO BS EN 877:
PR_65_52_00_00.2390B    GREY CAST IRON PIPES AND FITTINGS TO BS EN 877:
PR_65_52_00_00.2410A    FLANGED DUCTILE IRON PIPES AND FITTINGS TO BS EN 545:
PR_65_52_00_00.2410B    DUCTILE IRON PIPES AND FITTINGS TO BS EN 545:
PR_65_52_00_00.2420A    FLANGED DUCTILE IRON PIPES AND FITTINGS TO BS EN 598:
PR_65_52_00_00.2420B    DUCTILE IRON PIPE AND FITTINGS TO BS EN 598:
PR_65_52_00_00.2538    POLYETHYLENE FUSION FITTINGS TO BS EN 1555:
PR_65_52_00_00.2599A    PLASTICS PIPING SYSTEMS TO BS EN ISO 15876 - PIPES:
PR_65_52_00_00.2600A    PLASTICS PIPING SYSTEMS TO BS EN ISO 15876 - FITTINGS:
PR_65_52_00_00.2705A    PLASTICS PIPES TO BS 7291-2  AND BS 7291-3:
PR_65_52_00_00.2708A    POLYBUTYLENE (PB) PIPE AND FITTINGS:
PR_65_52_00_00.3010A    CIRCULAR FLANGES FOR PIPES, PN DESIGNATED - WELDED FLANGE:
PR_65_52_00_00.3010B    CIRCULAR FLANGES FOR PIPES, PN DESIGNATED - THREADED FLANGE:
PR_65_52_00_00.3010C    CIRCULAR FLANGES FOR PIPES, PN DESIGNATED - CAST IRON FLANGE:
PR_65_52_00_00.3020A    JOINTING RINGS - NON-METALLIC FLAT GASKETS:
PR_65_52_00_00.3020B    JOINTING RINGS - METALLIC GASKETS:
PR_65_52_00_00.3020C    JOINTING RINGS FOR CAST IRON:
PR_65_52_00_00.3030A    SCREWED JOINTS TO BS 21 AND BS EN 10226-1:
PR_65_52_00_00.3030B    SCREWED JOINTS TO BS 21 AND BS EN 10226-1 WITH PTFE TAPE:
PR_65_52_00_00.3030C    SCREWED JOINTS TO BS 21 AND BS EN 10226-1 WITH CHEMICAL CLEANING:
PR_65_52_00_00.3040A    RAILROAD UNION CONNECTIONS:
PR_65_52_00_00.3040B    NAVY UNION CONNECTIONS:
PR_65_52_00_00.3050A    WELDED JOINTS, WELDING RODS FOR STEEL PIPES:
PR_65_52_00_00.3060A    BRAZED JOINTS:
