,processName,user,datetime,formalIssue,tags,fpthInputs
0,gbxml,j.gunstone,2020-06-16 18:43:00,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200616_1842-jg-inputs-gbxml.json
1,gbxml,j.gunstone,2020-06-17 11:50:07,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200617_1150-jg-inputs-gbxml.json
2,gbxml,j.gunstone,2020-06-17 18:32:33,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200617_1832-jg-inputs-gbxml.json
3,gbxml,j.gunstone,2020-06-17 18:52:44,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200617_1852-jg-inputs-gbxml.json
4,gbxml,j.gunstone,2020-06-17 18:53:34,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200617_1853-jg-inputs-gbxml.json
5,gbxml,j.gunstone,2020-06-17 18:54:33,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200617_1854-jg-inputs-gbxml.json
6,gbxml,j.gunstone,2020-06-17 18:55:19,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200617_1855-jg-inputs-gbxml.json
7,gbxml,j.gunstone,2020-06-17 18:56:00,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200617_1856-jg-inputs-gbxml.json
8,gbxml,j.gunstone,2020-06-17 19:51:21,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200617_1951-jg-inputs-gbxml.json
9,gbxml,j.gunstone,2020-06-17 19:53:06,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200617_1953-jg-inputs-gbxml.json
10,gbxml,j.gunstone,2020-06-17 19:58:50,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200617_1958-jg-inputs-gbxml.json
11,gbxml,j.gunstone,2020-06-17 20:03:56,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200617_2003-jg-inputs-gbxml.json
12,gbxml,j.gunstone,2020-06-17 20:05:25,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200617_2005-jg-inputs-gbxml.json
13,gbxml,j.gunstone,2020-06-17 20:08:08,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200617_2008-jg-inputs-gbxml.json
14,gbxml,j.gunstone,2020-06-18 09:33:01,,,C:\engDev\git_mf\datadriven\notebooks\appdata\inputs\archive\20200618_0933-jg-inputs-gbxml.json
